,id,gender,age_group,race,body_shape
0,00001_00,woman,twenties,white,average
1,06679_00,woman,twenties,white,average
2,00006_00,woman,twenties,white,slim
3,06749_00,woman,twenties,white,slim
4,07212_00,woman,twenties,white,slim
5,08097_00,woman,twenties,white,slim
6,08244_00,woman,twenties,white,slim
7,08379_00,woman,twenties,white,slim
8,08646_00,woman,twenties,white,slim
9,10301_00,woman,twenties,white,slim
10,12998_00,woman,twenties,white,slim
11,00007_00,woman,twenties,white,slim
12,07877_00,woman,twenties,white,slim
13,00010_00,woman,thirties,white,slim
14,00019_00,woman,thirties,white,slim
15,00041_00,woman,thirties,white,slim
16,00052_00,woman,thirties,white,slim
17,00064_00,woman,thirties,white,slim
18,00098_00,woman,thirties,white,slim
19,00135_00,woman,thirties,white,slim
20,00209_00,woman,thirties,white,slim
21,00292_00,woman,thirties,white,slim
22,00409_00,woman,thirties,white,slim
23,00479_00,woman,thirties,white,slim
24,00724_00,woman,thirties,white,slim
25,00785_00,woman,thirties,white,slim
26,00948_00,woman,thirties,white,slim
27,00973_00,woman,thirties,white,slim
28,01148_00,woman,thirties,white,slim
29,01456_00,woman,thirties,white,slim
30,01548_00,woman,thirties,white,slim
31,01908_00,woman,thirties,white,slim
32,02019_00,woman,thirties,white,slim
33,02051_00,woman,thirties,white,slim
34,02138_00,woman,thirties,white,slim
35,02206_00,woman,thirties,white,slim
36,02261_00,woman,thirties,white,slim
37,02297_00,woman,thirties,white,slim
38,02487_00,woman,thirties,white,slim
39,02556_00,woman,thirties,white,slim
40,02638_00,woman,thirties,white,slim
41,02928_00,woman,thirties,white,slim
42,03024_00,woman,thirties,white,slim
43,03110_00,woman,thirties,white,slim
44,03177_00,woman,thirties,white,slim
45,03602_00,woman,thirties,white,slim
46,03726_00,woman,thirties,white,slim
47,03949_00,woman,thirties,white,slim
48,04073_00,woman,thirties,white,slim
49,04087_00,woman,thirties,white,slim
50,04227_00,woman,thirties,white,slim
51,04231_00,woman,thirties,white,slim
52,04364_00,woman,thirties,white,slim
53,04416_00,woman,thirties,white,slim
54,04575_00,woman,thirties,white,slim
55,04677_00,woman,thirties,white,slim
56,04777_00,woman,thirties,white,slim
57,04948_00,woman,thirties,white,slim
58,04975_00,woman,thirties,white,slim
59,05129_00,woman,thirties,white,slim
60,05155_00,woman,thirties,white,slim
61,05158_00,woman,thirties,white,slim
62,05272_00,woman,thirties,white,slim
63,05397_00,woman,thirties,white,slim
64,05738_00,woman,thirties,white,slim
65,06544_00,woman,thirties,white,slim
66,07076_00,woman,thirties,white,slim
67,07234_00,woman,thirties,white,slim
68,07275_00,woman,thirties,white,slim
69,07402_00,woman,thirties,white,slim
70,07724_00,woman,thirties,white,slim
71,07828_00,woman,thirties,white,slim
72,07883_00,woman,thirties,white,slim
73,08068_00,woman,thirties,white,slim
74,08123_00,woman,thirties,white,slim
75,08143_00,woman,thirties,white,slim
76,08530_00,woman,thirties,white,slim
77,08609_00,woman,thirties,white,slim
78,08622_00,woman,thirties,white,slim
79,08722_00,woman,thirties,white,slim
80,08924_00,woman,thirties,white,slim
81,09019_00,woman,thirties,white,slim
82,09099_00,woman,thirties,white,slim
83,09244_00,woman,thirties,white,slim
84,09310_00,woman,thirties,white,slim
85,09336_00,woman,thirties,white,slim
86,09371_00,woman,thirties,white,slim
87,09398_00,woman,thirties,white,slim
88,09414_00,woman,thirties,white,slim
89,09453_00,woman,thirties,white,slim
90,09489_00,woman,thirties,white,slim
92,09618_00,woman,thirties,white,slim
93,09712_00,woman,thirties,white,slim
94,09794_00,woman,thirties,white,slim
95,10311_00,woman,thirties,white,slim
96,10314_00,woman,thirties,white,slim
97,10556_00,woman,thirties,white,slim
98,10645_00,woman,thirties,white,slim
99,10737_00,woman,thirties,white,slim
100,10771_00,woman,thirties,white,slim
101,10808_00,woman,thirties,white,slim
102,12533_00,woman,thirties,white,slim
103,12872_00,woman,thirties,white,slim
104,12935_00,woman,thirties,white,slim
106,13085_00,woman,thirties,white,slim
107,13302_00,woman,thirties,white,slim
108,13310_00,woman,thirties,white,slim
109,13410_00,woman,thirties,white,slim
110,13413_00,woman,thirties,white,slim
111,13594_00,woman,thirties,white,slim
112,13726_00,woman,thirties,white,slim
113,13744_00,woman,thirties,white,slim
114,13756_00,woman,thirties,white,slim
