id,gender,age_group,race,body_shape
00001_00,woman,twenties,white,average
06679_00,woman,twenties,white,average
00006_00,woman,twenties,white,slim
06749_00,woman,twenties,white,slim
07212_00,woman,twenties,white,slim
08097_00,woman,twenties,white,slim
08244_00,woman,twenties,white,slim
08379_00,woman,twenties,white,slim
08646_00,woman,twenties,white,slim
10301_00,woman,twenties,white,slim
12998_00,woman,twenties,white,slim
00007_00,woman,twenties,white,slim
07877_00,woman,twenties,white,slim
00010_00,woman,thirties,white,slim
00019_00,woman,thirties,white,slim
00041_00,woman,thirties,white,slim
00052_00,woman,thirties,white,slim
00064_00,woman,thirties,white,slim
00098_00,woman,thirties,white,slim
00135_00,woman,thirties,white,slim
00209_00,woman,thirties,white,slim
00292_00,woman,thirties,white,slim
00409_00,woman,thirties,white,slim
00479_00,woman,thirties,white,slim
00724_00,woman,thirties,white,slim
00785_00,woman,thirties,white,slim
00948_00,woman,thirties,white,slim
00973_00,woman,thirties,white,slim
01148_00,woman,thirties,white,slim
01456_00,woman,thirties,white,slim
01548_00,woman,thirties,white,slim
01908_00,woman,thirties,white,slim
02019_00,woman,thirties,white,slim
02051_00,woman,thirties,white,slim
02138_00,woman,thirties,white,slim
02206_00,woman,thirties,white,slim
02261_00,woman,thirties,white,slim
02297_00,woman,thirties,white,slim
02487_00,woman,thirties,white,slim
02556_00,woman,thirties,white,slim
02638_00,woman,thirties,white,slim
02928_00,woman,thirties,white,slim
03024_00,woman,thirties,white,slim
03110_00,woman,thirties,white,slim
03177_00,woman,thirties,white,slim
03602_00,woman,thirties,white,maternity
03726_00,woman,thirties,white,slim
03949_00,woman,thirties,white,slim
04073_00,woman,thirties,white,slim
04087_00,woman,thirties,white,slim
04227_00,woman,thirties,white,slim
04231_00,woman,thirties,white,slim
04364_00,woman,thirties,white,slim
04416_00,woman,thirties,white,slim
04575_00,woman,thirties,white,slim
04677_00,woman,thirties,white,slim
04777_00,woman,thirties,white,slim
04948_00,woman,thirties,white,slim
04975_00,woman,thirties,white,slim
05129_00,woman,thirties,white,slim
05155_00,woman,thirties,white,slim
05158_00,woman,thirties,white,slim
05272_00,woman,thirties,white,slim
05397_00,woman,thirties,white,slim
05738_00,woman,thirties,white,slim
06544_00,woman,thirties,white,slim
07076_00,woman,thirties,white,slim
07234_00,woman,thirties,white,slim
07275_00,woman,thirties,white,slim
07402_00,woman,thirties,white,slim
07724_00,woman,thirties,white,slim
07828_00,woman,thirties,white,slim
07883_00,woman,thirties,white,slim
08068_00,woman,thirties,white,slim
08123_00,woman,thirties,white,slim
08143_00,woman,thirties,white,slim
08530_00,woman,thirties,white,slim
08609_00,woman,thirties,white,slim
08622_00,woman,thirties,white,slim
08722_00,woman,thirties,white,slim
