id,gender,age_group,race,body_shape
03885_00,woman,thirties,brunette,slim
03252_00,woman,twenties,white,slim
08161_00,woman,thirties,indian,slim
02583_00,woman,thirties,black,average
12476_00,woman,thirties,black,slim
10429_00,woman,twenties,white,slim
00181_00,woman,twenties,white,slim
03323_00,woman,thirties,white,slim
08329_00,woman,twenties,black,slim
06109_00,woman,twenties,white,slim
12255_00,woman,thirties,brunette,slim
04139_00,woman,thirties,black,slim
03529_00,woman,twenties,asian,slim
10845_00,woman,thirties,asian,slim
11518_00,woman,twenties,brunette,slim
13405_00,woman,twenties,white,slim
08472_00,woman,twenties,white,slim
10505_00,woman,thirties,white,average
06859_00,woman,twenties,brunette,slim
03129_00,woman,thirties,asian,pregnant
14120_00,woman,twenties,white,slim
05795_00,woman,twenties,white,slim
10680_00,woman,twenties,black,slim
04290_00,woman,thirties,white,average
13618_00,woman,thirties,white,slim
03078_00,woman,thirties,white,slim
05657_00,woman,twenties,white,slim
08126_00,woman,twenties,white,slim
07472_00,woman,thirties,white,slim
11810_00,woman,twenties,white,slim
12408_00,woman,twenties,black,slim
02219_00,woman,thirties,white,slim
08609_00,woman,thirties,white,slim
14455_00,woman,twenties,white,slim
03840_00,woman,twenties,white,slim
05459_00,woman,thirties,asian,slim
07955_00,woman,thirties,white,slim
03707_00,woman,thirties,black,slim
10489_00,woman,twenties,white,slim
09636_00,woman,twenties,white,slim
02347_00,woman,thirties,asian,slim
08618_00,woman,thirties,asian,slim
05425_00,woman,twenties,white,slim
06595_00,woman,twenties,white,slim
14028_00,woman,thirties,white,average
14350_00,woman,twenties,brunette,slim
10183_00,woman,thirties,white,slim
06187_00,woman,twenties,white,slim
10626_00,woman,twenties,white,slim
04157_00,woman,twenties,brunette,slim
07173_00,woman,thirties,white,slim
01914_00,woman,thirties,indian,slim
02413_00,woman,twenties,white,slim
04683_00,woman,thirties,black,full-figured
00599_00,woman,thirties,black,slim
08241_00,woman,twenties,white,slim
12766_00,woman,thirties,white,pregnant
10402_00,woman,twenties,white,slim
03307_00,woman,thirties,brunette,slim
02361_00,woman,thirties,white,pregnant
00570_00,woman,twenties,white,slim
01136_00,woman,thirties,black,plus-size
12515_00,woman,twenties,white,slim
04507_00,woman,twenties,white,slim
03118_00,woman,thirties,white,average
11213_00,woman,thirties,black,slim
05111_00,woman,twenties,white,slim
02650_00,woman,thirties,white,slim
01276_00,woman,thirties,indian,slim
03393_00,woman,thirties,white,slim
14611_00,woman,twenties,brunette,slim
05882_00,woman,thirties,white,slim
09927_00,woman,twenties,brunette,slim
07502_00,woman,thirties,white,slim
11415_00,woman,thirties,black,slim
02752_00,woman,thirties,black,slim
08917_00,woman,twenties,white,slim
13952_00,woman,thirties,white,slim
09641_00,woman,thirties,white,slim
02680_00,woman,twenties,white,slim
13652_00,woman,thirties,brunette,slim
09498_00,woman,twenties,white,slim
13112_00,woman,thirties,indian,slim
11366_00,woman,thirties,black,slim
07432_00,woman,thirties,indian,pregnant
09239_00,woman,twenties,white,slim
10439_00,woman,twenties,brunette,slim
01849_00,woman,twenties,white,slim
04300_00,woman,thirties,white,slim
08979_00,woman,thirties,white,slim
08561_00,woman,thirties,asian,slim
10715_00,woman,thirties,white,average
